aggregate_id,event_type,processed_at
order-00201588,STOCK_UNAVAILABLE,2025-09-15 05:26:13.243123
order-00232a09,ORDER_CREATED,2025-09-15 05:24:23.519604
order-00232a09,STOCK_UNAVAILABLE,2025-09-15 05:24:23.525842
order-002476ef,ORDER_CREATED,2025-09-18 12:24:19.627311
order-0024bdab,ORDER_CREATED,2025-09-18 11:51:00.011607
order-0029f37a,ORDER_CREATED,2025-09-18 12:23:11.480291
order-002ae604,ORDER_CREATED,2025-09-18 12:23:44.430107
order-002ed364,ORDER_CREATED,2025-09-18 11:48:51.166911
order-002ed41b,ORDER_CREATED,2025-09-18 11:47:58.132637
order-002f286d,ORDER_CREATED,2025-09-18 12:21:09.097809
order-002f512a,ORDER_CREATED,2025-09-15 05:23:32.762019
order-002f512a,STOCK_UNAVAILABLE,2025-09-15 05:23:32.764184
order-002fac36,ORDER_CREATED,2025-09-15 05:24:42.160037
order-002fac36,STOCK_UNAVAILABLE,2025-09-15 05:24:42.162787
order-0033b0e1,ORDER_CREATED,2025-09-18 11:50:02.311463
order-00344c7f,ORDER_CREATED,2025-09-15 05:25:42.738266
order-00344c7f,STOCK_UNAVAILABLE,2025-09-15 05:25:42.741576
order-00361c56,ORDER_CREATED,2025-09-15 05:23:08.068697
order-00361c56,STOCK_RESERVED,2025-09-15 05:23:08.073414
order-00373298,ORDER_CREATED,2025-09-18 12:24:14.468410
order-0038d098,ORDER_CREATED,2025-09-18 11:51:02.868292
order-00426323,ORDER_CREATED,2025-09-18 11:48:49.081646
order-0046d049,ORDER_CREATED,2025-09-18 11:48:01.198599
order-00471ead,ORDER_CREATED,2025-09-15 05:26:31.612645
order-00471ead,STOCK_RESERVED,2025-09-15 05:26:31.617266
order-0053e10e,ORDER_CREATED,2025-09-18 11:51:59.257690
order-005514d5,ORDER_CREATED,2025-09-18 12:24:03.335916
order-00556087,ORDER_CREATED,2025-09-15 05:23:09.693741
order-00556087,STOCK_UNAVAILABLE,2025-09-15 05:23:09.696547
order-0059e7d4,ORDER_CREATED,2025-09-18 12:24:20.383962
order-005a2812,ORDER_CREATED,2025-09-15 05:26:28.199165
order-005a2812,STOCK_UNAVAILABLE,2025-09-15 05:26:28.202126
order-005aea78,ORDER_CREATED,2025-09-18 11:51:39.458645
order-005af458,ORDER_CREATED,2025-09-15 05:23:10.558643
order-005af458,STOCK_UNAVAILABLE,2025-09-15 05:23:10.561601
order-005b2c8b,ORDER_CREATED,2025-09-15 05:25:42.507694
order-005b2c8b,STOCK_UNAVAILABLE,2025-09-15 05:25:42.513935
order-005c31e9,ORDER_CREATED,2025-09-18 12:23:21.147262
order-006420b0,ORDER_CREATED,2025-09-18 12:21:57.839727
order-006462d1,ORDER_CREATED,2025-09-15 05:23:26.759310
order-006462d1,STOCK_UNAVAILABLE,2025-09-15 05:23:26.762309
order-0065ef71,ORDER_CREATED,2025-09-18 12:23:52.652275
order-0066664d,ORDER_CREATED,2025-09-18 12:23:54.329262
order-0069571e,ORDER_CREATED,2025-09-18 12:22:39.963717
order-0069d6f6,ORDER_CREATED,2025-09-18 12:23:12.372110
order-006bfea4,ORDER_CREATED,2025-09-18 11:51:04.378549
order-006cfc95,ORDER_CREATED,2025-09-18 12:22:08.767807
order-006d172d,ORDER_CREATED,2025-09-18 12:24:12.528646
order-006d5cd4,ORDER_CREATED,2025-09-18 11:50:31.526743
order-006d8cae,ORDER_CREATED,2025-09-15 05:23:49.289924
order-006d8cae,STOCK_UNAVAILABLE,2025-09-15 05:23:49.300984
order-006f5170,ORDER_CREATED,2025-09-15 05:25:43.705625
order-006f5170,STOCK_UNAVAILABLE,2025-09-15 05:25:43.708393
order-006fd512,ORDER_CREATED,2025-09-18 11:47:25.969964
order-00740661,ORDER_CREATED,2025-09-15 05:25:12.418137
order-00740661,STOCK_UNAVAILABLE,2025-09-15 05:25:12.421717
order-00750a7c,ORDER_CREATED,2025-09-18 11:51:50.106566
order-00786afd,ORDER_CREATED,2025-09-15 05:25:29.913706
order-00786afd,STOCK_RESERVED,2025-09-15 05:25:29.917658
order-007aedd5,ORDER_CREATED,2025-09-18 12:23:33.130690
order-007d4b35,ORDER_CREATED,2025-09-18 12:23:56.538060
order-007d51af,ORDER_CREATED,2025-09-18 12:20:15.772214
order-007d5e0e,ORDER_CREATED,2025-09-18 11:48:54.291032
order-007f87cc,ORDER_CREATED,2025-09-15 05:26:01.506441
order-007f87cc,STOCK_RESERVED,2025-09-15 05:26:01.512507
order-007f9b90,ORDER_CREATED,2025-09-18 12:22:16.869889
order-008110c8,ORDER_CREATED,2025-09-18 11:50:07.919832
order-008156a2,ORDER_CREATED,2025-09-18 11:47:33.087933
order-00867326,ORDER_CREATED,2025-09-18 11:49:31.416324
order-0087d834,ORDER_CREATED,2025-09-18 11:47:56.066524
order-00892fdd,ORDER_CREATED,2025-09-15 05:26:18.939198
order-00892fdd,STOCK_UNAVAILABLE,2025-09-15 05:26:18.941571
order-0089427d,ORDER_CREATED,2025-09-18 11:51:31.406275
order-008a881f,ORDER_CREATED,2025-09-18 12:24:23.329733
order-008b645d,ORDER_CREATED,2025-09-18 11:52:05.084746
order-008c3157,ORDER_CREATED,2025-09-18 11:47:00.604645
order-008ca185,ORDER_CREATED,2025-09-18 12:24:24.640253
order-008ddb05,ORDER_CREATED,2025-09-18 12:19:12.608901
order-008f0abd,ORDER_CREATED,2025-09-18 12:23:48.616623
order-008f574f,ORDER_CREATED,2025-09-15 05:25:33.390928
order-008f574f,STOCK_RESERVED,2025-09-15 05:25:33.397943
order-00913bb3,ORDER_CREATED,2025-09-15 05:25:22.701493
order-00913bb3,STOCK_RESERVED,2025-09-15 05:25:22.707462
order-00939265,ORDER_CREATED,2025-09-15 05:24:05.009597
order-00939265,STOCK_RESERVED,2025-09-15 05:24:05.015138
order-00951b28,ORDER_CREATED,2025-09-15 05:24:14.628486
order-00951b28,STOCK_UNAVAILABLE,2025-09-15 05:24:14.631703
order-0095e9de,ORDER_CREATED,2025-09-18 12:19:31.045605
order-00963dae,ORDER_CREATED,2025-09-18 11:52:06.535513
order-0096812f,ORDER_CREATED,2025-09-15 05:25:26.250709
order-0096812f,STOCK_UNAVAILABLE,2025-09-15 05:25:26.253157
order-0097ee7b,ORDER_CREATED,2025-09-18 11:50:57.529700
order-00985645,ORDER_CREATED,2025-09-18 11:50:07.883880
order-009baf8d,ORDER_CREATED,2025-09-18 12:20:17.039814
order-009be70e,ORDER_CREATED,2025-09-15 05:26:22.107946
order-009be70e,STOCK_RESERVED,2025-09-15 05:26:22.112390
order-009efe8f,ORDER_CREATED,2025-09-15 05:26:40.692042
order-009efe8f,STOCK_UNAVAILABLE,2025-09-15 05:26:40.694367
order-009f7887,ORDER_CREATED,2025-09-18 11:50:27.400704
order-00a35f60,ORDER_CREATED,2025-09-18 11:45:46.833865
order-00a38ef6,ORDER_CREATED,2025-09-18 12:24:06.011169
order-00a53f2c,ORDER_CREATED,2025-09-15 05:25:42.305509
order-00a53f2c,STOCK_RESERVED,2025-09-15 05:25:42.310968
order-00a61118,ORDER_CREATED,2025-09-18 12:23:30.004750
order-00aad1de,ORDER_CREATED,2025-09-15 05:26:04.489717
order-00aad1de,STOCK_RESERVED,2025-09-15 05:26:04.496772
order-00ae89aa,ORDER_CREATED,2025-09-18 11:51:48.993607
order-00af15b4,ORDER_CREATED,2025-09-15 05:22:59.947387
order-00af15b4,STOCK_UNAVAILABLE,2025-09-15 05:22:59.950378
order-00b3aecd,ORDER_CREATED,2025-09-18 12:20:21.637643
order-00b45eba,ORDER_CREATED,2025-09-15 05:26:20.783172
order-00b45eba,STOCK_RESERVED,2025-09-15 05:26:20.788853
order-00b59164,ORDER_CREATED,2025-09-18 11:48:05.926494
order-00b59aaf,ORDER_CREATED,2025-09-18 11:50:14.056541
order-00b67b30,ORDER_CREATED,2025-09-18 11:49:11.723697
order-00b96e34,ORDER_CREATED,2025-09-18 12:21:59.181152
order-00b97e72,ORDER_CREATED,2025-09-18 12:23:49.744716
order-00be8e8a,ORDER_CREATED,2025-09-18 11:51:56.387567
order-00c18bcb,ORDER_CREATED,2025-09-18 11:49:58.753693
order-00c4d11b,ORDER_CREATED,2025-09-18 11:51:43.038450
order-00c549f3,ORDER_CREATED,2025-09-18 12:22:38.669320
order-00cad09c,ORDER_CREATED,2025-09-18 12:21:25.775629
order-00cc67c3,ORDER_CREATED,2025-09-15 05:26:31.247908
order-00cc67c3,STOCK_RESERVED,2025-09-15 05:26:31.254957
order-00d24685,ORDER_CREATED,2025-09-15 05:23:27.930010
order-00d24685,STOCK_UNAVAILABLE,2025-09-15 05:23:27.932758
order-00d28e9a,ORDER_CREATED,2025-09-18 12:23:15.041753
order-00d8cad5,ORDER_CREATED,2025-09-15 05:25:18.641245
order-00d8cad5,STOCK_RESERVED,2025-09-15 05:25:18.647312
order-00dd92ec,ORDER_CREATED,2025-09-18 12:23:15.421810
order-00df7283,ORDER_CREATED,2025-09-18 11:51:00.198567
order-00e2b519,ORDER_CREATED,2025-09-18 11:48:54.708375
order-00e2d2b1,ORDER_CREATED,2025-09-18 11:49:04.125988
order-00eca9b0,ORDER_CREATED,2025-09-15 05:23:16.535308
order-00eca9b0,STOCK_UNAVAILABLE,2025-09-15 05:23:16.537779
order-00ee560f,ORDER_CREATED,2025-09-18 12:23:28.632823
order-00f04c0e,ORDER_CREATED,2025-09-18 11:50:59.538405
order-00f0e529,ORDER_CREATED,2025-09-18 11:50:36.138345
order-00f12b16,ORDER_CREATED,2025-09-18 11:50:39.765614
order-00f3a021,ORDER_CREATED,2025-09-18 12:23:44.943669
order-00f6bd7c,ORDER_CREATED,2025-09-15 05:24:00.531579
order-00f6bd7c,STOCK_UNAVAILABLE,2025-09-15 05:24:00.534542
order-00fa361c,ORDER_CREATED,2025-09-18 11:51:18.011525
order-00fff277,ORDER_CREATED,2025-09-15 05:24:51.769453
order-00fff277,STOCK_UNAVAILABLE,2025-09-15 05:24:51.772191
order-0103c262,ORDER_CREATED,2025-09-18 12:19:43.071325
order-010416a9,ORDER_CREATED,2025-09-18 11:52:17.014383
order-01047154,ORDER_CREATED,2025-09-18 12:24:14.549302
order-01066a77,ORDER_CREATED,2025-09-18 12:21:03.307020
order-01069fc7,ORDER_CREATED,2025-09-18 11:50:36.530493
order-0107e8bc,ORDER_CREATED,2025-09-18 11:49:20.561326
order-010a8c74,ORDER_CREATED,2025-09-18 12:23:36.774246
order-010addb0,ORDER_CREATED,2025-09-18 11:51:28.574840
order-010b9932,ORDER_CREATED,2025-09-15 05:21:42.612236
order-010b9932,STOCK_UNAVAILABLE,2025-09-15 05:21:42.614790
order-010c5d8d,ORDER_CREATED,2025-09-18 11:51:19.501342
order-010d679e,ORDER_CREATED,2025-09-18 12:23:29.498389
order-010e47e5,ORDER_CREATED,2025-09-18 11:51:15.563280
order-0112e931,ORDER_CREATED,2025-09-18 12:21:48.077312
order-0113cfbc,ORDER_CREATED,2025-09-18 11:49:16.675879
order-011495f0,ORDER_CREATED,2025-09-18 11:50:19.130847
order-01169539,ORDER_CREATED,2025-09-18 11:51:57.522202
order-0117597c,ORDER_CREATED,2025-09-18 11:47:41.989896
order-011793a1,ORDER_CREATED,2025-09-18 12:21:41.403166
order-011d0af5,ORDER_CREATED,2025-09-18 12:19:10.818803
order-011d501b,ORDER_CREATED,2025-09-15 05:25:12.141570
order-011d501b,STOCK_UNAVAILABLE,2025-09-15 05:25:12.143707
order-011ff240,ORDER_CREATED,2025-09-18 12:21:46.835431
order-01204958,ORDER_CREATED,2025-09-18 12:23:14.431822
order-0120fa41,ORDER_CREATED,2025-09-15 05:25:35.837338
order-0120fa41,STOCK_RESERVED,2025-09-15 05:25:35.842959
order-01219d08,ORDER_CREATED,2025-09-18 11:49:54.368231
order-0123d10e,ORDER_CREATED,2025-09-18 12:20:10.540918
order-0123f389,ORDER_CREATED,2025-09-18 11:52:08.482350
order-012582f4,ORDER_CREATED,2025-09-18 11:50:55.077327
order-0125db3f,ORDER_CREATED,2025-09-15 05:26:38.243265
order-0125db3f,STOCK_RESERVED,2025-09-15 05:26:38.249592
order-01261a33,ORDER_CREATED,2025-09-18 11:48:27.427052
order-01286ff8,ORDER_CREATED,2025-09-18 12:24:05.479578
order-0128877b,ORDER_CREATED,2025-09-18 12:24:02.725636
order-01297fdf,ORDER_CREATED,2025-09-15 05:25:19.804461
order-01297fdf,STOCK_UNAVAILABLE,2025-09-15 05:25:19.806994
order-012d57f0,ORDER_CREATED,2025-09-18 11:52:17.640411
order-012e5365,ORDER_CREATED,2025-09-15 05:25:41.886962
order-012e5365,STOCK_RESERVED,2025-09-15 05:25:41.893120
order-012fb52c,ORDER_CREATED,2025-09-18 12:23:24.693031
order-0131b38b,ORDER_CREATED,2025-09-15 05:25:41.752743
order-0131b38b,STOCK_UNAVAILABLE,2025-09-15 05:25:41.754779
order-013371c8,ORDER_CREATED,2025-09-18 12:23:35.911138
order-01353d86,ORDER_CREATED,2025-09-18 11:50:31.482242
order-0135e211,ORDER_CREATED,2025-09-15 05:23:07.838673
order-0135e211,STOCK_UNAVAILABLE,2025-09-15 05:23:07.843329
order-013795fa,ORDER_CREATED,2025-09-18 12:23:35.827295
order-0137e5bc,ORDER_CREATED,2025-09-18 12:24:22.999970
order-0138d3f2,ORDER_CREATED,2025-09-18 12:22:18.239141
order-013b6e68,ORDER_CREATED,2025-09-15 05:23:54.948207
order-013b6e68,STOCK_UNAVAILABLE,2025-09-15 05:23:54.951422
order-013d5e2a,ORDER_CREATED,2025-09-18 11:50:00.930852
order-0142452b,ORDER_CREATED,2025-09-18 11:47:28.716368
order-01425963,ORDER_CREATED,2025-09-18 11:51:29.621948
order-0143c877,ORDER_CREATED,2025-09-18 12:24:05.283250
order-014776a3,ORDER_CREATED,2025-09-18 11:51:52.645616
order-01483fd5,ORDER_CREATED,2025-09-18 12:21:07.345878
order-014859ef,ORDER_CREATED,2025-09-18 11:50:57.145465
order-0148d11e,ORDER_CREATED,2025-09-15 05:26:35.062334
order-0148d11e,STOCK_RESERVED,2025-09-15 05:26:35.067976
order-014a8d11,ORDER_CREATED,2025-09-18 11:47:39.262005
order-014b1d8f,ORDER_CREATED,2025-09-18 12:21:43.601204
order-014c4071,ORDER_CREATED,2025-09-18 12:24:09.966413
order-014c6dbd,ORDER_CREATED,2025-09-15 05:23:04.346462
order-014c6dbd,STOCK_RESERVED,2025-09-15 05:23:04.353681
order-014d126f,ORDER_CREATED,2025-09-18 12:20:06.662280
order-01515c07,ORDER_CREATED,2025-09-15 05:24:00.674651
order-01515c07,STOCK_UNAVAILABLE,2025-09-15 05:24:00.677691
order-01517933,ORDER_CREATED,2025-09-18 12:23:23.040165
order-0154447b,ORDER_CREATED,2025-09-15 05:21:27.437960
order-0154447b,STOCK_UNAVAILABLE,2025-09-15 05:21:27.442275
order-0154afc7,ORDER_CREATED,2025-09-15 05:26:13.429373
order-0154afc7,STOCK_UNAVAILABLE,2025-09-15 05:26:13.432877
order-0155a4b7,ORDER_CREATED,2025-09-18 11:50:07.795567
order-01573b20,ORDER_CREATED,2025-09-18 11:51:02.976758
order-0157619a,ORDER_CREATED,2025-09-15 05:25:26.404914
order-0157619a,STOCK_UNAVAILABLE,2025-09-15 05:25:26.409733
order-015a76c8,ORDER_CREATED,2025-09-18 11:51:06.465159
order-015b5df7,ORDER_CREATED,2025-09-15 05:26:32.961382
order-015b5df7,STOCK_UNAVAILABLE,2025-09-15 05:26:32.963885
order-015c5aad,ORDER_CREATED,2025-09-15 05:26:17.212644
order-015c5aad,STOCK_UNAVAILABLE,2025-09-15 05:26:17.215880
order-015dd486,ORDER_CREATED,2025-09-18 12:19:28.210874
order-015f8edb,ORDER_CREATED,2025-09-18 12:24:06.019376
order-016057a8,ORDER_CREATED,2025-09-15 05:24:18.317671
order-016057a8,STOCK_UNAVAILABLE,2025-09-15 05:24:18.323471
order-01646906,ORDER_CREATED,2025-09-18 11:51:22.073974
order-016519d2,ORDER_CREATED,2025-09-15 05:25:33.553305
order-016519d2,STOCK_UNAVAILABLE,2025-09-15 05:25:33.561604
order-0167db19,ORDER_CREATED,2025-09-15 05:26:34.489291
order-0167db19,STOCK_UNAVAILABLE,2025-09-15 05:26:34.491887
order-01693fb2,ORDER_CREATED,2025-09-18 12:23:22.039803
order-0169c109,ORDER_CREATED,2025-09-18 11:52:09.112295
order-016a2037,ORDER_CREATED,2025-09-18 12:24:03.660315
order-016fe33f,ORDER_CREATED,2025-09-18 11:52:06.623013
order-01713890,ORDER_CREATED,2025-09-18 12:23:59.933622
order-01758785,ORDER_CREATED,2025-09-18 11:49:50.529550
order-0176e507,ORDER_CREATED,2025-09-18 11:51:40.121612
order-0176e99c,ORDER_CREATED,2025-09-18 12:24:08.543894
order-0178cf5a,ORDER_CREATED,2025-09-18 12:24:30.977338
order-017a2e02,ORDER_CREATED,2025-09-15 05:25:43.362588
order-017a2e02,STOCK_UNAVAILABLE,2025-09-15 05:25:43.395124
order-017b3a43,ORDER_CREATED,2025-09-18 11:49:00.524265
order-017b3b97,ORDER_CREATED,2025-09-18 12:23:59.791824
order-017dfd92,ORDER_CREATED,2025-09-15 05:24:42.916633
order-017dfd92,STOCK_UNAVAILABLE,2025-09-15 05:24:42.919361
order-018145df,ORDER_CREATED,2025-09-18 12:22:13.933525
order-0181afde,ORDER_CREATED,2025-09-18 12:21:50.165952
order-018205be,ORDER_CREATED,2025-09-18 12:21:46.580428
order-0185e9e2,ORDER_CREATED,2025-09-18 11:50:12.625684
order-01872e96,ORDER_CREATED,2025-09-18 11:48:56.631559
order-01880d6d,ORDER_CREATED,2025-09-18 11:50:39.602484
order-018bca84,ORDER_CREATED,2025-09-18 11:50:09.676589
order-018dbcea,ORDER_CREATED,2025-09-18 12:23:14.029800
order-018f1ec4,ORDER_CREATED,2025-09-15 05:26:35.111885
order-018f1ec4,STOCK_UNAVAILABLE,2025-09-15 05:26:35.115492
order-018f267d,ORDER_CREATED,2025-09-15 05:24:14.677230
order-018f267d,STOCK_UNAVAILABLE,2025-09-15 05:24:14.681015
order-018f29a1,ORDER_CREATED,2025-09-15 05:23:16.786602
order-018f29a1,STOCK_RESERVED,2025-09-15 05:23:16.791594
order-0192ca1f,ORDER_CREATED,2025-09-18 12:21:35.781314
order-019469f3,ORDER_CREATED,2025-09-15 05:24:45.596515
order-019469f3,STOCK_RESERVED,2025-09-15 05:24:45.601705
order-01951b49,ORDER_CREATED,2025-09-18 11:50:57.720134
order-01960156,ORDER_CREATED,2025-09-15 05:25:36.757886
order-01960156,STOCK_UNAVAILABLE,2025-09-15 05:25:36.760443
order-01962e25,ORDER_CREATED,2025-09-18 11:49:31.289452
order-019a68b6,ORDER_CREATED,2025-09-15 05:23:51.005530
order-019a68b6,STOCK_RESERVED,2025-09-15 05:23:51.012364
order-019b90c5,ORDER_CREATED,2025-09-18 12:22:51.623990
order-019d83f3,ORDER_CREATED,2025-09-15 05:23:55.863054
order-019d83f3,STOCK_RESERVED,2025-09-15 05:23:55.868779
order-019de3b9,ORDER_CREATED,2025-09-18 12:23:07.548923
order-01a06b25,ORDER_CREATED,2025-09-18 12:21:03.803127
order-01a10c87,ORDER_CREATED,2025-09-18 12:21:39.733162
order-01a12b91,ORDER_CREATED,2025-09-18 12:21:41.388966
order-01a29910,ORDER_CREATED,2025-09-15 05:24:24.179513
order-01a29910,STOCK_RESERVED,2025-09-15 05:24:24.184808
order-01a2b35f,ORDER_CREATED,2025-09-15 05:23:43.071638
order-01a2b35f,STOCK_RESERVED,2025-09-15 05:23:43.076844
order-01a3fd0c,ORDER_CREATED,2025-09-15 05:25:33.283238
order-01a3fd0c,STOCK_RESERVED,2025-09-15 05:25:33.288818
order-01a447a7,ORDER_CREATED,2025-09-18 12:19:43.589019
order-01a699c6,ORDER_CREATED,2025-09-15 05:26:17.487580
order-01a699c6,STOCK_UNAVAILABLE,2025-09-15 05:26:17.491850
order-01a71d57,ORDER_CREATED,2025-09-18 11:49:12.487763
order-01adf617,ORDER_CREATED,2025-09-15 05:24:20.711633
order-01adf617,STOCK_UNAVAILABLE,2025-09-15 05:24:20.714224
order-01ae08bf,ORDER_CREATED,2025-09-18 12:23:51.560218
order-01aefea0,ORDER_CREATED,2025-09-18 11:50:58.229281
order-01b34da5,ORDER_CREATED,2025-09-18 11:51:19.417865
order-01b4a1bb,ORDER_CREATED,2025-09-18 11:49:10.420584
order-01b4d8c3,ORDER_CREATED,2025-09-15 05:23:03.860031
order-01b4d8c3,STOCK_RESERVED,2025-09-15 05:23:03.864810
order-01b51252,ORDER_CREATED,2025-09-18 12:23:09.054673
order-01b623d1,ORDER_CREATED,2025-09-18 12:20:58.341153
order-01b6b388,ORDER_CREATED,2025-09-15 05:25:37.206571
order-01b6b388,STOCK_UNAVAILABLE,2025-09-15 05:25:37.209413
order-01bad5a6,ORDER_CREATED,2025-09-18 12:19:36.078257
order-01baf2cb,ORDER_CREATED,2025-09-18 12:21:13.891777
order-01bb08ab,ORDER_CREATED,2025-09-18 11:51:09.285369
order-01bcac6d,ORDER_CREATED,2025-09-18 11:51:53.476259
order-01bd4d16,ORDER_CREATED,2025-09-18 12:23:10.785769
order-01bd7030,ORDER_CREATED,2025-09-18 12:20:33.450709
order-01bf7c59,ORDER_CREATED,2025-09-18 12:22:17.858613
order-01bfa99f,ORDER_CREATED,2025-09-18 12:23:21.619898
order-01c02369,ORDER_CREATED,2025-09-18 11:50:33.075097
order-01c12884,ORDER_CREATED,2025-09-18 12:21:04.714545
order-01c3525e,ORDER_CREATED,2025-09-18 12:20:55.770660
order-01c50087,ORDER_CREATED,2025-09-18 11:47:27.070336
order-01c5e23a,ORDER_CREATED,2025-09-15 05:26:20.587383
order-01c5e23a,STOCK_UNAVAILABLE,2025-09-15 05:26:20.589739
order-01c67832,ORDER_CREATED,2025-09-18 11:51:19.269225
order-01c89e3c,ORDER_CREATED,2025-09-18 12:22:23.614397
order-01cfc147,ORDER_CREATED,2025-09-18 12:24:06.169833
order-01d0d673,ORDER_CREATED,2025-09-18 11:47:17.901813
order-01d1564c,ORDER_CREATED,2025-09-18 12:21:10.839771
order-01d3403a,ORDER_CREATED,2025-09-15 05:26:40.130423
order-01d3403a,STOCK_UNAVAILABLE,2025-09-15 05:26:40.133531
order-01d671fd,ORDER_CREATED,2025-09-15 05:26:34.663090
order-01d671fd,STOCK_UNAVAILABLE,2025-09-15 05:26:34.666705
order-01d7984b,ORDER_CREATED,2025-09-15 05:23:28.311875
order-01d7984b,STOCK_UNAVAILABLE,2025-09-15 05:23:28.314964
order-01d8f284,ORDER_CREATED,2025-09-18 12:22:49.091313
order-01da016c,ORDER_CREATED,2025-09-18 12:20:03.280892
order-01daa0f1,ORDER_CREATED,2025-09-15 05:25:24.701493
order-01daa0f1,STOCK_RESERVED,2025-09-15 05:25:24.708588
order-01ddb65f,ORDER_CREATED,2025-09-15 05:22:26.084497
order-01ddb65f,STOCK_RESERVED,2025-09-15 05:22:26.096173
order-01e1f1f8,ORDER_CREATED,2025-09-18 11:51:27.175665
order-01e2d39e,ORDER_CREATED,2025-09-15 05:25:32.605800
order-01e2d39e,STOCK_UNAVAILABLE,2025-09-15 05:25:32.608371
order-01e33c3e,ORDER_CREATED,2025-09-18 12:23:40.116366
order-01e75cad,ORDER_CREATED,2025-09-15 05:26:09.883895
order-01e75cad,STOCK_UNAVAILABLE,2025-09-15 05:26:09.886734
order-01ea8e6a,ORDER_CREATED,2025-09-18 12:20:19.031412
order-01eddbd8,ORDER_CREATED,2025-09-15 05:24:58.375331
order-01eddbd8,STOCK_UNAVAILABLE,2025-09-15 05:24:58.378171
order-01efdd44,ORDER_CREATED,2025-09-18 12:23:59.001956
order-01f2de9c,ORDER_CREATED,2025-09-15 05:25:28.768929
order-01f2de9c,STOCK_UNAVAILABLE,2025-09-15 05:25:28.772786
order-01f44e88,ORDER_CREATED,2025-09-15 05:26:01.136788
order-01f44e88,STOCK_UNAVAILABLE,2025-09-15 05:26:01.140393
order-01f572a2,ORDER_CREATED,2025-09-18 11:47:41.381843
order-01f601b0,ORDER_CREATED,2025-09-18 12:23:17.018310
order-01f6fb97,ORDER_CREATED,2025-09-18 11:51:55.314305
order-01fbbe35,ORDER_CREATED,2025-09-18 12:23:52.407475
order-01fbfeaf,ORDER_CREATED,2025-09-18 11:51:43.617716
order-01fce0d6,ORDER_CREATED,2025-09-18 11:51:25.419962
order-01fd9e54,ORDER_CREATED,2025-09-15 05:26:04.080366
order-01fd9e54,STOCK_UNAVAILABLE,2025-09-15 05:26:04.083764
order-01fdc91d,ORDER_CREATED,2025-09-15 05:25:26.675011
order-01fdc91d,STOCK_UNAVAILABLE,2025-09-15 05:25:26.679050
order-01ffcd77,ORDER_CREATED,2025-09-18 11:49:34.802863
order-01ffcdc2,ORDER_CREATED,2025-09-15 05:23:48.759387
order-01ffcdc2,STOCK_RESERVED,2025-09-15 05:23:48.764160
order-0202a331,ORDER_CREATED,2025-09-18 11:52:05.190554
order-02031b10,ORDER_CREATED,2025-09-18 12:23:18.265510
order-0203c74e,ORDER_CREATED,2025-09-18 11:51:01.901454
order-0203f251,ORDER_CREATED,2025-09-18 12:23:39.015608
order-020576a6,ORDER_CREATED,2025-09-18 11:49:01.332441
order-0208353c,ORDER_CREATED,2025-09-15 05:25:30.671876
order-0208353c,STOCK_UNAVAILABLE,2025-09-15 05:25:30.675132
order-020c3fb5,ORDER_CREATED,2025-09-18 11:51:53.220089
order-020f460c,ORDER_CREATED,2025-09-18 11:50:56.554762
order-0216d327,ORDER_CREATED,2025-09-18 12:21:53.599426
order-02194f98,ORDER_CREATED,2025-09-18 12:23:38.408356
order-021af960,ORDER_CREATED,2025-09-18 11:50:00.944861
order-021b8bd4,ORDER_CREATED,2025-09-18 11:52:19.487935
